"","allStarStarters2022AveragesWOWiggins","andrewWiggins","desmondBane","KAT","rudyGobert","bojanBogdanoviÄ‡"
"Age",28.889,"26","23","26","29","32"
"G",40.444,"45","47","42","42","48"
"GS",40.444,"45","47","42","42","48"
"MP",34.344,"31.5","30.0","34.5","32.5","30.9"
"FG",9.733,"6.8","6.7","8.6","5.6","6.1"
"FGA",19.533,"14.0","14.3","16.7","8.0","13.3"
"FG%",0.5,".483",".468",".514",".707",".458"
"3P",2.056,"2.2","2.9","2.2","0.0","2.4"
"3PA",5.689,"5.4","6.8","5.5","0.0","6.4"
"3P%",0.355,".412",".419",".404",".000",".379"
"2P",7.689,"4.6","3.9","6.4","5.6","3.6"
"2PA",13.867,"8.6","7.5","11.3","7.9","6.8"
"2P%",0.553,".528",".513",".567",".712",".534"
"eFG%",0.551,".563",".568",".580",".707",".550"
"FT",6.033,"2.3","1.5","4.8","4.7","3.2"
"FTA",7.367,"3.5","1.7","6.0","6.8","3.7"
"FT%",0.826,".662",".886",".806",".690",".855"
"ORB",1.333,"1.1","0.5","2.8","3.7","0.8"
"DRB",6.611,"3.2","3.8","6.6","11.4","3.3"
"TRB",7.933,"4.2","4.3","9.4","15.1","4.1"
"AST",6.367,"2.1","2.4","3.7","1.2","1.7"
"STL",1.156,"0.9","1.1","1.0","0.8","0.5"
"BLK",0.756,"0.6","0.4","1.2","2.3","0.0"
"TOV",3.233,"1.5","1.5","3.4","1.8","1.7"
"PF",2.2,"1.8","2.4","3.7","2.7","1.7"
"PTS",27.556,"18.1","17.7","24.2","16.0","17.8"
